,name,level,record_longest_win_streak,losses,win_loss_ratio,games_played,deaths,wins,kd_ratio,suicides,kills,assists,record_kill_streak,kills_assists,deaths/match_ratio,suicides/match_ratio,killed_by_enemies,kills/match_ratio
0,W2LLU,1000.0,60.0,733.0,0.785811722278595,8530.0,21901.0,576.0,3.539564371109009,1130.0,77520.0,15109.0,26.0,92629.0,2.5675263774912076,0.1324736225087925,20771.0,9.087924970691676
1,steviii77,1000.0,50.0,637.0,0.8100470900535583,17745.0,67332.0,516.0,1.556837797164917,26426.0,104825.0,26008.0,15.0,130833.0,3.7944209636517328,1.4892082276697662,40906.0,5.907297830374754
3,EricNordin,1000.0,127.0,683.0,1.6061493158340454,9976.0,60320.0,1097.0,1.2119197845458984,6627.0,73103.0,23425.0,13.0,96528.0,6.046511627906977,0.6642943063352045,53693.0,7.3278869286287085
4,Pamajino,330.0,27.0,2931.0,0.7488911747932434,16353.0,90901.0,2195.0,1.8500787019729612,13868.0,168174.0,17273.0,31.0,185447.0,5.558674249373204,0.8480401149636152,77033.0,10.28398458998349
6,Da_DoM91,1000.0,42.0,1398.0,0.7081544995307922,14464.0,70125.0,990.0,1.1874938011169434,14887.0,83273.0,15450.0,16.0,98723.0,4.848243915929204,1.0292450221238938,55238.0,5.757259402654867
7,tyrulzfoolz,1000.0,81.0,987.0,0.2593718469142914,16208.0,45476.0,256.0,1.215894103050232,1887.0,55294.0,19481.0,16.0,74775.0,2.8057749259624876,0.11642398815399803,43589.0,3.4115251727541955
8,lil_munkki,843.0,54.0,405.0,0.0617283955216407,9996.0,21723.0,25.0,1.6627076864242554,5029.0,36119.0,10416.0,9.0,46535.0,2.173169267707083,0.5031012404961985,16694.0,3.6133453381352543
9,CuriaaL,713.0,106.0,32.0,0.90625,3880.0,9718.0,29.0,4.715579509735107,13421.0,45826.0,5960.0,14.0,51786.0,2.504639175257732,3.459020618556701,-3703.0,11.810824742268041
11,TheBigVlad,596.0,94.0,0.0,0.0,10869.0,28432.0,0.0,1.5953150987625122,11700.0,45358.0,14091.0,0.0,59449.0,2.6158800257613395,1.076455975710737,16732.0,4.173153003956206
12,DREAMbordeaux,494.0,25.0,1819.0,0.888949990272522,14099.0,80353.0,1617.0,1.6355581283569336,8823.0,131422.0,19002.0,33.0,150424.0,5.699198524718065,0.6257890630541173,71530.0,9.32137030995106
13,Own3d_By_Lady,692.0,28.0,2684.0,0.992920994758606,18427.0,66618.0,2665.0,1.130925536155701,8585.0,75340.0,14472.0,14.0,89812.0,3.615238508710045,0.46589244044065775,58033.0,4.0885656916481254
14,iCrankedX,8.0,17.0,607.0,0.179571658372879,8250.0,21776.0,109.0,1.8195260763168333,768.0,39622.0,7216.0,12.0,46838.0,2.6395151515151514,0.09309090909090909,21008.0,4.802666666666667
15,martinama,719.0,84.0,1113.0,1.0790655612945557,9243.0,34170.0,1201.0,1.7683055400848389,638.0,60423.0,10365.0,15.0,70788.0,3.696851671535216,0.0690252082657146,33532.0,6.537163258682246
17,you_shot_me44,742.0,15.0,664.0,0.4397590458393097,11827.0,28374.0,292.0,1.329914689064026,668.0,37735.0,8610.0,13.0,46345.0,2.399086835207576,0.05648093345734337,27706.0,3.1905808742707364
19,WestBoyChris,472.0,34.0,953.0,0.4952780604362488,11043.0,33571.0,472.0,1.269607663154602,16988.0,42622.0,10790.0,14.0,53412.0,3.0400253554287784,1.5383500860273476,16583.0,3.8596395906909353
21,gittanova,1000.0,34.0,180.0,0.7833333611488342,5245.0,17436.0,141.0,1.5790319442749023,10514.0,27532.0,8602.0,11.0,36134.0,3.3243088655862727,2.0045757864632985,6922.0,5.249189704480457
23,unnsipunnsi,881.0,88.0,709.0,0.6854724884033203,11147.0,34782.0,486.0,1.613190770149231,4474.0,56110.0,13988.0,18.0,70098.0,3.1203014263927513,0.4013635955862564,30308.0,5.03364133847672
25,Twitch_BabarX9,289.0,24.0,1122.0,0.3734402954578399,8995.0,35289.0,419.0,1.7380770444869995,4174.0,61335.0,12320.0,22.0,73655.0,3.923179544191217,0.46403557531962203,31115.0,6.818788215675375
26,xX_TheD3fil3r_Xx,127.0,50.0,260.0,0.4153846204280853,3020.0,7238.0,108.0,2.2915170192718506,2440.0,16586.0,3001.0,17.0,19587.0,2.3966887417218543,0.8079470198675497,4798.0,5.49205298013245
28,bossbred_bundles,587.0,21.0,699.0,0.0529327616095542,9684.0,21857.0,37.0,1.5876835584640503,14052.0,34702.0,6102.0,9.0,40804.0,2.2570218917802563,1.4510532837670385,7805.0,3.583436596447749
29,St-Carnage,328.0,39.0,1907.0,0.4084950089454651,10935.0,59960.0,779.0,1.234606385231018,14929.0,74027.0,13993.0,19.0,88020.0,5.483310470964792,1.365249199817101,45031.0,6.769730224051211
30,ChiLLikeSam,296.0,13.0,148.0,0.5540540814399719,4290.0,13690.0,82.0,0.9838568568229676,1352.0,13469.0,5381.0,12.0,18850.0,3.191142191142191,0.3151515151515151,12338.0,3.13962703962704
31,KevinKaputt,244.0,56.0,530.0,1.105660319328308,5463.0,29301.0,586.0,1.7147196531295776,6830.0,50243.0,9398.0,24.0,59641.0,5.363536518396486,1.2502288120080542,22471.0,9.196961376533041
32,CitywideIconic,233.0,102.0,1188.0,0.8316498398780823,6273.0,33949.0,988.0,1.2446905374526978,231.0,42256.0,8792.0,22.0,51048.0,5.411924119241192,0.036824485891917745,33718.0,6.736170891120676
34,C-dog_63,278.0,9.0,753.0,0.0903054475784301,10684.0,26545.0,68.0,0.9282727241516112,984.0,24641.0,6099.0,11.0,30740.0,2.484556345937851,0.09210033695245226,25561.0,2.3063459378509923
38,WreckdumPuncher,493.0,84.0,2171.0,1.0207277536392212,16927.0,129673.0,2216.0,1.0987098217010498,27514.0,142473.0,35910.0,18.0,178383.0,7.6607195604655285,1.6254504637561293,102159.0,8.416907898623501
39,UnKnOwN-jente,101.0,48.0,770.0,1.184415578842163,4284.0,21043.0,912.0,1.272442102432251,573.0,26776.0,4743.0,38.0,31519.0,4.911998132586368,0.13375350140056022,20470.0,6.250233426704015
40,hdygang,53.0,19.0,862.0,1.281902551651001,3608.0,41363.0,1105.0,1.108962059020996,561.0,45870.0,7532.0,22.0,53402.0,11.464246119733925,0.15548780487804878,40802.0,12.713414634146341
42,bigdaddymaples,262.0,22.0,1075.0,0.5627906918525696,7912.0,36625.0,605.0,1.0195767879486084,701.0,37342.0,12052.0,17.0,49394.0,4.629044489383215,0.08859959555106167,35924.0,4.719666329625885
46,Cowboybebop973,597.0,34.0,1650.0,0.4648484885692596,17793.0,75873.0,767.0,1.312232255935669,30767.0,99563.0,21659.0,18.0,121222.0,4.264205024447817,1.7291631540493453,45106.0,5.595627493958299
