,name,level,record_longest_win_streak,losses,total_games_played,win_loss_ratio,games_played,deaths,wins,kd_ratio,suicides,kills,assists,record_kill_streak
0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,marleydee1,688.0,227.0,419.0,8799.0,0.5369928479194641,8799.0,17236.0,225.0,3.626131296157837,7596.0,62500.0,18559.0,14.0
2,Stefo__SvK,1000.0,84.0,2025.0,18529.0,0.566419780254364,18529.0,71914.0,1147.0,2.009121894836426,3141.0,144484.0,27365.0,31.0
3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,Vylxnz,1000.0,199.0,1447.0,14803.0,0.8742225170135498,14803.0,66305.0,1265.0,2.856828212738037,12549.0,189422.0,30556.0,28.0
8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,xizf-,628.0,97.0,760.0,9159.0,0.40526315569877625,9159.0,23616.0,308.0,3.3609840869903564,4507.0,79373.0,11872.0,26.0
10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,steviii77,1000.0,50.0,637.0,18020.0,0.8100470900535583,18020.0,67975.0,516.0,1.5742993354797363,26931.0,107013.0,26619.0,15.0
12,W2LLU,1000.0,63.0,733.0,8552.0,0.785811722278595,8552.0,21938.0,576.0,3.5495030879974365,1137.0,77869.0,15183.0,26.0
13,cx_pim,738.0,72.0,1595.0,15952.0,0.8075234889984131,15952.0,86304.0,1288.0,2.179713487625122,12978.0,188118.0,33344.0,26.0
14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
15,kingbenja2001,1000.0,380.0,1136.0,10203.0,2.692781686782837,10203.0,79032.0,3059.0,2.490687370300293,3881.0,196844.0,32015.0,66.0
16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17,Donaldinihio,858.0,22.0,522.0,9236.0,0.501915693283081,9236.0,25833.0,262.0,2.4887547492980957,12429.0,64292.0,12574.0,22.0
18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
23,TreKK_EU,185.0,141.0,896.0,11378.0,0.4955357015132904,11378.0,37624.0,444.0,3.3129384517669678,11636.0,124646.0,19746.0,25.0
24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
25,ReLizZe,1000.0,209.0,851.0,12173.0,0.266745001077652,12173.0,28206.0,227.0,4.468446254730225,43912.0,126037.0,13287.0,13.0
26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
30,Bob_Scrubbs,960.0,134.0,535.0,10173.0,0.9906542301177979,10173.0,24762.0,530.0,1.5205153226852417,646.0,37651.0,7399.0,13.0
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
34,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
36,Turles91,709.0,88.0,955.0,12429.0,0.291099488735199,12429.0,40135.0,278.0,2.205332040786743,716.0,88511.0,21636.0,21.0
37,Killers_Brunoz,556.0,37.0,1410.0,11353.0,0.5936170220375061,11353.0,36783.0,837.0,1.333414912223816,666.0,49047.0,7699.0,17.0
38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
39,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
